Start;Stop;;;;
7,625;7,65;62;93;48;99
7,6375;7,6625;56;92;47;108
7,65;7,675;51;91;47;102
7,6625;7,6875;50;93;51;93
7,675;7,7;51;94;51;106
7,6875;7,7125;55;96;50;103
7,7;7,725;59;105;54;95
7,7125;7,7375;58;105;53;119
7,725;7,75;58;118;50;135
7,7375;7,7625;59;134;56;126
7,75;7,775;58;144;65;125
7,7625;7,7875;57;140;74;127
7,775;7,8;60;143;72;128
7,7875;7,8125;60;159;73;143
7,8;7,825;60;166;63;151
7,8125;7,8375;63;158;49;153
7,825;7,85;61;150;43;157
7,8375;7,8625;52;162;48;170
7,85;7,875;43;173;61;172
7,8625;7,8875;42;176;65;170
7,875;7,9;49;175;64;158
7,8875;7,9125;59;175;62;153
7,9;7,925;41;178;55;168
7,9125;7,9375;37;164;46;171
7,925;7,95;54;161;63;170
7,9375;7,9625;55;174;84;172
7,95;7,975;52;175;90;167
7,9625;7,9875;57;171;78;162
7,975;8;56;175;61;176
7,9875;8,0125;60;175;51;186
8;8,025;57;172;49;175
8,0125;8,0375;52;184;57;170
8,025;8,05;67;177;67;182
8,0375;8,0625;69;159;71;191
8,05;8,075;60;152;72;189
8,0625;8,0875;63;154;82;176
8,075;8,1;74;151;72;144
8,0875;8,1125;80;129;69;129
8,1;8,125;74;116;70;142
8,1125;8,1375;72;114;57;138
8,125;8,15;77;127;82;130
8,1375;8,1625;80;134;88;129
8,15;8,175;81;142;70;125
8,1625;8,1875;82;151;68;131
8,175;8,2;73;144;62;117
8,1875;8,2125;66;142;67;110
8,2;8,225;80;133;75;132
8,2125;8,2375;91;138;67;134
8,225;8,25;86;143;68;139
8,2375;8,2625;77;127;63;121
8,25;8,275;87;128;58;105
8,2625;8,2875;92;140;65;129
8,275;8,3;73;137;69;123
8,2875;8,3125;72;148;64;130
8,3;8,325;75;145;56;147
8,3125;8,3375;66;128;66;144
8,325;8,35;68;116;80;143
8,3375;8,3625;69;115;76;142
8,35;8,375;62;128;61;129
8,3625;8,3875;69;135;58;120
8,375;8,4;80;137;65;127
8,3875;8,4125;76;143;77;137
8,4;8,425;73;155;70;141
8,4125;8,4375;84;150;62;135
8,425;8,45;92;153;74;144
8,4375;8,4625;90;164;79;146
8,45;8,475;95;165;80;152
8,4625;8,4875;88;173;77;154
8,475;8,5;75;171;77;148
8,4875;8,5125;75;164;83;145
8,5;8,525;85;162;82;142
8,5125;8,5375;87;168;77;150
8,525;8,55;92;167;72;149
8,5375;8,5625;97;157;65;145
8,55;8,575;94;163;66;144
8,5625;8,5875;85;165;67;152
8,575;8,6;82;175;82;170
8,5875;8,6125;97;184;101;171
8,6;8,625;94;167;90;156
8,6125;8,6375;90;163;66;157
8,625;8,65;99;158;84;161
8,6375;8,6625;92;158;91;156
8,65;8,675;88;160;71;155
8,6625;8,6875;101;162;80;149
8,675;8,7;106;178;85;157
8,6875;8,7125;100;167;82;161
8,7;8,725;99;156;76;153
8,7125;8,7375;101;166;83;148
8,725;8,75;111;175;87;159
8,7375;8,7625;100;158;63;140
8,75;8,775;77;117;63;115
8,7625;8,7875;81;117;71;116
8,775;8,8;71;113;64;110
8,7875;8,8125;65;100;76;116
8,8;8,825;80;115;80;117
8,8125;8,8375;85;117;67;111
8,825;8,85;78;121;62;101
8,8375;8,8625;66;121;60;98
8,85;8,875;65;104;57;115
8,8625;8,8875;77;106;71;130
8,875;8,9;79;102;71;119
8,8875;8,9125;76;101;63;114
8,9;8,925;78;109;63;108
8,9125;8,9375;74;117;62;104
8,925;8,95;80;119;72;120
8,9375;8,9625;86;114;75;121
8,95;8,975;80;104;67;114
8,9625;8,9875;73;104;66;118
8,975;9;65;112;64;130
8,9875;9,0125;67;121;60;120
9;9,025;69;121;61;110
9,0125;9,0375;69;114;60;118
