Start;Stop;;;;
6,875;6,9;67;143;67;137
6,8875;6,9125;67;153;67;140
6,9;6,925;70;152;55;138
6,9125;6,9375;61;153;61;129
6,925;6,95;56;153;68;132
6,9375;6,9625;50;152;65;141
6,95;6,975;59;158;58;136
6,9625;6,9875;61;161;56;131
6,975;7;53;148;51;136
6,9875;7,0125;50;128;44;124
7;7,025;31;92;33;85
7,0125;7,0375;19;76;19;68
7,025;7,05;18;80;18;72
7,0375;7,0625;18;74;18;68
7,05;7,075;18;67;18;63
7,0625;7,0875;18;78;18;71
7,075;7,1;18;86;18;72
7,0875;7,1125;18;90;18;70
7,1;7,125;18;85;18;66
7,1125;7,1375;18;86;18;72
7,125;7,15;18;106;18;80
7,1375;7,1625;19;112;18;78
7,15;7,175;18;102;19;78
7,1625;7,1875;22;101;18;85
7,175;7,2;24;105;20;93
7,1875;7,2125;24;103;20;87
7,2;7,225;24;106;24;92
7,2125;7,2375;28;106;28;101
7,225;7,25;32;105;26;110
7,2375;7,2625;32;102;22;109
7,25;7,275;30;104;22;100
7,2625;7,2875;34;122;26;105
7,275;7,3;36;130;26;116
7,2875;7,3125;34;118;32;116
7,3;7,325;32;116;30;116
7,3125;7,3375;29;120;22;117
7,325;7,35;29;120;25;111
7,3375;7,3625;32;108;30;112
7,35;7,375;30;108;33;112
7,3625;7,3875;28;132;30;110
7,375;7,4;28;128;26;108
7,3875;7,4125;34;125;32;102
7,4;7,425;42;136;34;108
7,4125;7,4375;38;126;32;117
7,425;7,45;41;125;36;118
7,4375;7,4625;41;129;39;112
7,45;7,475;32;117;36;99
7,4625;7,4875;31;114;38;101
7,475;7,5;37;124;41;113
7,4875;7,5125;43;127;36;116
7,5;7,525;38;122;32;117
7,5125;7,5375;35;115;37;105
7,525;7,55;37;122;47;94
7,5375;7,5625;39;126;43;98
7,55;7,575;38;116;36;106
7,5625;7,5875;36;119;42;109
7,575;7,6;46;126;44;98
7,5875;7,6125;46;127;44;107
7,6;7,625;40;134;40;119
7,6125;7,6375;54;131;46;118
7,625;7,65;54;118;55;123
7,6375;7,6625;46;127;56;130
