Start;Stop;;;;
6,1375;6,1625;79;135;75;137
6,15;6,175;78;141;73;135
6,1625;6,1875;84;143;89;134
6,175;6,2;92;145;90;130
6,1875;6,2125;96;136;82;131
6,2;6,225;90;133;86;123
6,2125;6,2375;79;141;82;125
6,225;6,25;83;138;83;129
6,2375;6,2625;98;144;83;123
6,25;6,275;97;149;78;134
6,2625;6,2875;80;147;80;142
6,275;6,3;84;155;76;136
6,2875;6,3125;92;163;79;145
6,3;6,325;91;159;85;149
6,3125;6,3375;97;152;75;149
6,325;6,35;96;149;77;157
6,3375;6,3625;73;156;79;154
6,35;6,375;63;162;70;148
6,3625;6,3875;82;163;64;150
6,375;6,4;83;169;64;162
6,3875;6,4125;75;178;70;161
6,4;6,425;71;183;73;164
6,4125;6,4375;100;185;106;190
6,425;6,45;121;197;128;195
6,4375;6,4625;117;191;127;195
6,45;6,475;139;180;127;185
6,4625;6,4875;144;183;123;176
6,475;6,5;125;184;132;181
6,4875;6,5125;136;187;127;176
6,5;6,525;132;192;120;181
6,5125;6,5375;117;185;130;184
6,525;6,55;129;179;131;178
6,5375;6,5625;130;193;126;174
6,55;6,575;125;192;118;185
6,5625;6,5875;119;190;120;189
6,575;6,6;112;194;133;184
6,5875;6,6125;111;178;133;181
6,6;6,625;111;181;117;181
6,6125;6,6375;118;183;106;183
6,625;6,65;133;180;117;182
6,6375;6,6625;140;182;119;175
6,65;6,675;123;177;129;172
6,6625;6,6875;124;186;130;174
6,675;6,7;132;182;119;176
6,6875;6,7125;128;170;120;177
6,7;6,725;116;179;110;169
6,7125;6,7375;101;188;98;171
6,725;6,75;89;185;96;179
6,7375;6,7625;77;163;98;177
6,75;6,775;80;150;104;177
6,7625;6,7875;84;165;104;170
6,775;6,8;96;170;98;169
6,7875;6,8125;88;159;95;178
6,8;6,825;75;160;92;175
6,8125;6,8375;74;158;88;175
6,825;6,85;76;154;75;155
6,8375;6,8625;76;162;73;145
6,85;6,875;83;179;74;158
