Start;Stop;;;;
5,4125;5,4375;114;207;83;163
5,425;5,45;129;208;66;157
5,4375;5,4625;155;205;71;165
5,45;5,475;143;206;76;171
5,4625;5,4875;114;206;65;168
5,475;5,5;114;196;55;168
5,4875;5,5125;120;198;41;186
5,5;5,525;96;205;51;178
5,5125;5,5375;95;207;61;174
5,525;5,55;120;205;57;180
5,5375;5,5625;131;207;60;184
5,55;5,575;133;202;51;180
5,5625;5,5875;129;192;58;197
5,575;5,6;120;193;56;198
5,5875;5,6125;91;195;77;190
5,6;5,625;69;198;103;204
5,6125;5,6375;64;187;81;187
5,625;5,65;64;180;49;160
5,6375;5,6625;58;172;43;156
5,65;5,675;44;168;70;163
5,6625;5,6875;57;186;70;158
5,675;5,7;74;192;74;154
5,6875;5,7125;74;189;81;157
5,7;5,725;76;198;64;180
5,7125;5,7375;81;193;60;191
5,725;5,75;69;197;78;186
5,7375;5,7625;68;203;73;182
5,75;5,775;78;187;58;173
5,7625;5,7875;67;165;62;173
5,775;5,8;63;175;72;188
5,7875;5,8125;69;187;69;182
5,8;5,825;70;188;67;188
5,8125;5,8375;88;198;73;206
5,825;5,85;91;205;80;195
5,8375;5,8625;88;206;76;177
5,85;5,875;88;202;60;169
5,8625;5,8875;120;211;66;166
5,875;5,9;83;209;65;162
5,8875;5,9125;28;184;65;167
5,9;5,925;59;178;73;175
5,9125;5,9375;74;170;60;184
5,925;5,95;76;162;42;154
5,9375;5,9625;83;164;44;142
5,95;5,975;80;159;53;159
5,9625;5,9875;59;164;59;158
5,975;6;88;188;54;187
5,9875;6,0125;133;217;46;213
6;6,025;96;205;49;220
6,0125;6,0375;74;184;59;203
6,025;6,05;95;180;65;181
6,0375;6,0625;74;181;49;177
6,05;6,075;73;191;33;174
6,0625;6,0875;83;182;57;184
6,075;6,1;87;170;84;172
6,0875;6,1125;114;190;77;164
6,1;6,125;124;194;52;173
6,1125;6,1375;118;190;30;161
6,125;6,15;102;187;34;173
6,1375;6,1625;74;166;46;188
6,15;6,175;66;165;49;185
6,1625;6,1875;79;182;48;192
6,175;6,2;67;172;89;206
6,1875;6,2125;59;179;110;211
6,2;6,225;65;203;85;204
6,2125;6,2375;75;193;82;197
6,225;6,25;74;171;86;174
6,2375;6,2625;61;174;71;169
6,25;6,275;53;172;62;164
6,2625;6,2875;44;173;73;158
6,275;6,3;67;180;87;162
6,2875;6,3125;72;165;79;165
6,3;6,325;62;162;70;172
6,3125;6,3375;81;172;80;173
6,325;6,35;68;176;78;161
6,3375;6,3625;52;162;66;152
6,35;6,375;67;161;63;148
6,3625;6,3875;74;181;72;144
6,375;6,4;70;177;74;158
6,3875;6,4125;72;172;79;173
6,4;6,425;76;163;76;159
6,4125;6,4375;80;167;62;168
6,425;6,45;55;173;70;202
6,4375;6,4625;28;164;83;211
6,45;6,475;38;159;88;224
6,4625;6,4875;36;161;81;214
6,475;6,5;30;149;66;184
6,4875;6,5125;43;163;64;182
6,5;6,525;44;165;87;199
6,5125;6,5375;64;157;92;217
6,525;6,55;89;162;61;200
6,5375;6,5625;80;158;63;184
6,55;6,575;89;167;84;176
6,5625;6,5875;79;169;89;164
6,575;6,6;57;181;92;166
6,5875;6,6125;50;170;89;162
6,6;6,625;75;170;70;168
6,6125;6,6375;94;175;49;173
6,625;6,65;78;159;47;175
6,6375;6,6625;66;159;62;189
6,65;6,675;71;172;84;191
6,6625;6,6875;88;170;93;183
6,675;6,7;88;163;91;180
