Start;Stop;;
4,1375;4,1625;231,256;385,135
4,15;4,175;181,573;290,133
4,1625;4,1875;189,385;260,321
4,175;4,2;213,195;265,135
4,1875;4,2125;205,164;246,265
4,2;4,225;188,707;249,63
4,2125;4,2375;181,887;237,072
4,225;4,25;158,081;197,31
4,2375;4,2625;170,374;223,061
4,25;4,275;180,375;232,182
4,2625;4,2875;183,577;268,83
4,275;4,3;187,979;303,309
4,2875;4,3125;182,239;265,073
4,3;4,325;184,203;244,922
4,3125;4,3375;172,373;237,854
4,325;4,35;171,829;237,52
4,3375;4,3625;168,329;237,325
4,35;4,375;182,317;273,88
4,3625;4,3875;192,83;285,689
4,375;4,4;182,066;256,648
4,3875;4,4125;185,258;243,375
4,4;4,425;209,138;288,231
4,4125;4,4375;200,008;283,767
4,425;4,45;156,911;233,773
4,4375;4,4625;163,773;242,306
4,45;4,475;160,827;229,262
4,4625;4,4875;142,912;208,95
4,475;4,5;142,897;184,083
4,4875;4,5125;144,953;175,591
4,5;4,525;141,226;193,476
4,5125;4,5375;135,65;193,786
4,525;4,55;127,333;175,18
4,5375;4,5625;126,018;189,124
4,55;4,575;130,459;184,899
4,5625;4,5875;128,78;180,038
4,575;4,6;127,043;180,205
4,5875;4,6125;118,689;163,492
4,6;4,625;117,061;174,197
4,6125;4,6375;108,576;160,905
4,625;4,65;106,88;137,36
4,6375;4,6625;110,992;146,615
4,65;4,675;103,31;137,401
4,6625;4,6875;96,5594;129,223
4,675;4,7;92,7294;118,488
4,6875;4,7125;96,5462;98,6841
4,7;4,725;94,9856;109,851
4,7125;4,7375;88,6872;106,91
4,725;4,75;89,9106;101,918
4,7375;4,7625;86,4736;96,2652
4,75;4,775;86,8876;90,0059
4,7625;4,7875;91,028;95,8962
4,775;4,8;88,8441;93,9644
4,7875;4,8125;82,7324;81,3008
4,8;4,825;79,4095;79,922
4,8125;4,8375;79,9205;108,21
4,825;4,85;73,9081;122,197
4,8375;4,8625;69,7382;105,979
4,85;4,875;77,6602;84,4331
4,8625;4,8875;83,0005;89,4741
4,875;4,9;81,8126;92,7281
4,8875;4,9125;76,2164;86,479
4,9;4,925;78,9632;90,2631
4,9125;4,9375;84,1492;103,11
4,925;4,95;85,7363;106,896
4,9375;4,9625;84,1193;98,1754
4,95;4,975;83,9454;105,188
4,9625;4,9875;105,911;130,911
4,975;5;150,857;236,015
4,9875;5,0125;147,438;228,271
5;5,025;113,438;124,7
5,0125;5,0375;118,777;141,912
5,025;5,05;118,838;135,114
5,0375;5,0625;124,325;159,488
5,05;5,075;116,088;158,956
5,0625;5,0875;100,685;116,832
5,075;5,1;105,095;123,972
5,0875;5,1125;120,865;147,075
5,1;5,125;161,406;206,467
5,1125;5,1375;229,814;314,432
5,125;5,15;271,777;397,467
5,1375;5,1625;255,229;404,448
5,15;5,175;226,71;348,477
5,1625;5,1875;237,664;341,725
5,175;5,2;1140,09;1818,31
5,1875;5,2125;1802;2604,2
5,2;5,225;2735,26;3809,85
5,2125;5,2375;3028,72;4286,3
5,225;5,25;2863,39;3993,68
5,2375;5,2625;3148,13;4246,08
5,25;5,275;3160,63;4062,47
5,2625;5,2875;3150,17;3908,78
5,275;5,3;3039,1;3802,99
5,2875;5,3125;3079,59;3902,92
5,3;5,325;3722,43;4595,54
5,3125;5,3375;3979,66;4878,02
5,325;5,35;3471,97;4249,38
5,3375;5,3625;3013,22;3668,99
5,35;5,375;2960,52;3747,22
5,3625;5,3875;3047,11;3923,59
5,375;5,4;2869,67;3624,11
5,3875;5,4125;2527,42;3118,8
5,4;5,425;2748,55;3387,46
5,4125;5,4375;3140,33;3788,03
5,425;5,45;3128,72;3772,82
5,4375;5,4625;3014,99;3633,23
5,45;5,475;3340,47;4068,77
5,4625;5,4875;3576,08;4413,83
5,475;5,5;3340,54;4057,8
5,4875;5,5125;3364,27;4022,07
5,5;5,525;3589,59;4358,39
5,5125;5,5375;3164,22;3897,67
5,525;5,55;3118,69;3778,13
5,5375;5,5625;3276,22;3987,8
5,55;5,575;2664,7;3304,44
5,5625;5,5875;2013,41;2559,4
5,575;5,6;1547,12;2049,02
5,5875;5,6125;1056,8;1493,64
5,6;5,625;859,563;1244,12
5,6125;5,6375;642,249;880,184
5,625;5,65;495,024;649,014
5,6375;5,6625;441,636;567,433
5,65;5,675;342,018;477,237
5,6625;5,6875;275,606;373,045
5,675;5,7;258,891;343,878
5,6875;5,7125;219,968;296,421
5,7;5,725;182,621;226,903
5,7125;5,7375;163,544;200,157
5,725;5,75;117,421;171,704
5,7375;5,7625;103,704;139,515
5,75;5,775;111,697;130,409
5,7625;5,7875;108,799;135,861
5,775;5,8;104,828;135,347
5,7875;5,8125;94,3378;129,928
5,8;5,825;83,4423;131,093
5,8125;5,8375;83,1696;127,593
5,825;5,85;86,9138;122,721
5,8375;5,8625;103,583;129,137
5,85;5,875;286,702;361,885
5,8625;5,8875;280,408;357,696
5,875;5,9;72,6311;100,428
5,8875;5,9125;61,5229;88,8182
5,9;5,925;66,1015;93,4878
5,9125;5,9375;80,2145;95,609
5,925;5,95;88,4583;101,538
5,9375;5,9625;90,5153;113,606
5,95;5,975;631,476;802,066
5,9625;5,9875;1577,75;2001,49
5,975;6;2076,89;2601,76
5,9875;6,0125;3109,64;3908,36
6;6,025;3655,66;4712,4
6,0125;6,0375;3411,97;4637,99
6,025;6,05;3839,29;5194,34
6,0375;6,0625;3786,91;5068,59
6,05;6,075;3745,54;4979,35
6,0625;6,0875;3584,72;4735,24
6,075;6,1;2862,99;3917,15
6,0875;6,1125;3522,72;4869,29
6,1;6,125;3706,19;5050,46
6,1125;6,1375;3998,81;5418,64
6,125;6,15;4293,66;5697,34
6,1375;6,1625;4500,38;6128,4
6,15;6,175;4443,56;6163,27
6,1625;6,1875;3421,88;4714,66
6,175;6,2;2526,38;3319,64
6,1875;6,2125;1559,26;1574,49
6,2;6,225;841,77;897,714
6,2125;6,2375;680,279;671,658
6,225;6,25;537,376;563,319
6,2375;6,2625;397,651;460,964
6,25;6,275;1407,79;2010,17
6,2625;6,2875;2089,38;2834,25
6,275;6,3;2529,11;3132,54
6,2875;6,3125;2986,17;3425,41
6,3;6,325;3549,51;3980,82
6,3125;6,3375;3318,65;3926,72
6,325;6,35;2817,46;3471,66
6,3375;6,3625;3028,13;3488,87
6,35;6,375;2714,95;3093,89
6,3625;6,3875;2574,54;3014,63
6,375;6,4;2485,51;2763,81
6,3875;6,4125;2219,71;2429,91
6,4;6,425;2412,51;2645,74
6,4125;6,4375;2312,55;2538,54
6,425;6,45;2499,54;2945,2
6,4375;6,4625;2591,77;3122,6
6,45;6,475;2642,12;3270,35
6,4625;6,4875;2721,16;3332,93
6,475;6,5;2364,33;2890,42
6,4875;6,5125;2333,68;2874,07
6,5;6,525;1974,64;2354,39
6,5125;6,5375;1162,9;1294,1
6,525;6,55;700,513;733,092
6,5375;6,5625;464,884;393,298
6,55;6,575;370,437;307,976
6,5625;6,5875;280,915;242,024
6,575;6,6;227,934;195,721
6,5875;6,6125;196,328;192,372
6,6;6,625;140,469;153,147
6,6125;6,6375;129,201;166,407
6,625;6,65;120,394;165,756
6,6375;6,6625;112,485;196,679
6,65;6,675;263,274;408,188
6,6625;6,6875;294,733;447,66
6,675;6,7;237,584;384,378
6,6875;6,7125;271,603;437,635
6,7;6,725;285,808;446,984
6,7125;6,7375;276,832;432,666
6,725;6,75;1338,65;1830,49
6,7375;6,7625;2079;2809,51
6,75;6,775;2691,88;3610,49
6,7625;6,7875;2783,56;3727,46
6,775;6,8;2587,88;3413,45
6,7875;6,8125;2937,32;3716,22
6,8;6,825;2777,26;3479,23
6,8125;6,8375;2703,07;3369,51
6,825;6,85;2706,34;3301,99
6,8375;6,8625;2440,65;3067,52
6,85;6,875;2494,71;3159,19
6,8625;6,8875;2170,77;2721,92
6,875;6,9;2279;2884,06
6,8875;6,9125;2212,5;2784,6
6,9;6,925;2052,09;2409,11
6,9125;6,9375;2222,95;2622,53
6,925;6,95;1842,65;2288,37
6,9375;6,9625;1364,22;1762,14
6,95;6,975;1831,87;2300,96
6,9625;6,9875;2055,68;2491,92
6,975;7;1919,67;2284,62
6,9875;7,0125;1792,83;2102,85
7;7,025;1205,63;1408,1
7,0125;7,0375;727,39;890,625
7,025;7,05;361,148;445,978
7,0375;7,0625;274,606;309,276
7,05;7,075;263,999;276,627
7,0625;7,0875;254,251;243,49
7,075;7,1;232,775;210,725
7,0875;7,1125;193,478;170,399
7,1;7,125;141,49;133,197
7,1125;7,1375;127,153;123,734
7,125;7,15;128,574;111,727
7,1375;7,1625;379,776;554,596
7,15;7,175;1085,61;1298,1
7,1625;7,1875;2351,22;2709,46
7,175;7,2;2922,78;3399,25
7,1875;7,2125;2702,51;3308,23
7,2;7,225;2523,46;2972,62
7,2125;7,2375;2699,35;3015,48
7,225;7,25;3348,29;3903,1
7,2375;7,2625;3603,89;4290,86
7,25;7,275;3291,9;4157,07
7,2625;7,2875;3605,42;4707,46
7,275;7,3;3572,21;4627,85
7,2875;7,3125;3192,33;4123,54
7,3;7,325;3597,48;4503,83
7,3125;7,3375;3419,25;4275,49
7,325;7,35;3271,88;4211,47
7,3375;7,3625;3391,11;4330,4
7,35;7,375;3083,73;4011,89
7,3625;7,3875;3268,82;4354,35
7,375;7,4;3087,41;4131,26
7,3875;7,4125;2760,52;3711,59
7,4;7,425;2729,16;3621,45
7,4125;7,4375;2259,47;2968,58
7,425;7,45;2071,33;2733,34
7,4375;7,4625;1781,57;2269,5
7,45;7,475;1187,06;1437,72
7,4625;7,4875;881,32;1099,65
7,475;7,5;861,297;1011,04
7,4875;7,5125;929,61;1073,13
7,5;7,525;747,136;903,901
7,5125;7,5375;590,02;751,457
7,525;7,55;720,606;885,738
7,5375;7,5625;613,605;760,902
7,55;7,575;195,515;218,39
7,5625;7,5875;173,727;198,125
7,575;7,6;149,679;155,905
7,5875;7,6125;127;138,464
7,6;7,625;111,992;139,993
7,6125;7,6375;210,585;268,087
7,625;7,65;743,372;899,637
7,6375;7,6625;1237,17;1522,05
7,65;7,675;1222,61;1498,48
7,6625;7,6875;1703,67;2124,07
7,675;7,7;2118,06;2614,34
7,6875;7,7125;2489,43;3111,45
7,7;7,725;2466,68;3126,74
7,7125;7,7375;2409,84;2975,46
7,725;7,75;2404,56;2900,96
7,7375;7,7625;2078,14;2457,56
7,75;7,775;1965,07;2337,43
