Start;Stop;;;;
7,9875;8,0125;19;117;23;103
8;8,025;33;121;43;91
8,0125;8,0375;38;143;52;115
8,025;8,05;33;155;47;142
8,0375;8,0625;42;164;49;154
8,05;8,075;58;171;51;165
8,0625;8,0875;75;156;64;151
8,075;8,1;76;129;76;127
8,0875;8,1125;57;105;55;108
8,1;8,125;48;109;47;102
8,1125;8,1375;42;108;49;102
8,125;8,15;28;87;31;86
8,1375;8,1625;27;86;28;85
8,15;8,175;30;87;30;88
8,1625;8,1875;30;77;28;89
8,175;8,2;27;89;25;90
8,1875;8,2125;33;101;35;91
8,2;8,225;36;90;36;93
8,2125;8,2375;28;86;32;94
8,225;8,25;23;80;35;91
8,2375;8,2625;25;77;37;91
8,25;8,275;26;85;32;80
8,2625;8,2875;29;83;27;81
8,275;8,3;34;94;41;103
8,2875;8,3125;37;115;61;127
8,3;8,325;51;132;82;154
8,3125;8,3375;74;134;105;167
8,325;8,35;72;126;106;151
8,3375;8,3625;72;135;98;134
8,35;8,375;88;155;99;144
8,3625;8,3875;99;161;103;159
8,375;8,4;110;163;107;161
8,3875;8,4125;110;155;100;160
8,4;8,425;101;151;92;159
8,4125;8,4375;97;153;96;153
8,425;8,45;101;156;104;146
8,4375;8,4625;94;158;112;150
8,45;8,475;86;144;111;153
8,4625;8,4875;89;127;103;149
8,475;8,5;87;124;90;125
8,4875;8,5125;78;133;82;102
8,5;8,525;67;145;73;122
8,5125;8,5375;51;164;52;140
8,525;8,55;41;183;45;164
8,5375;8,5625;60;171;71;164
8,55;8,575;81;155;89;156
8,5625;8,5875;86;163;83;155
8,575;8,6;94;175;78;155
8,5875;8,6125;98;166;87;170
8,6;8,625;90;152;94;169
8,6125;8,6375;78;161;98;184
8,625;8,65;46;130;62;150
8,6375;8,6625;20;77;16;93
8,65;8,675;19;62;18;84
8,6625;8,6875;20;71;26;100
8,675;8,7;21;82;25;116
8,6875;8,7125;24;87;26;100
8,7;8,725;29;98;29;100
8,7125;8,7375;31;100;25;109
8,725;8,75;25;92;25;101
8,7375;8,7625;19;85;21;92
8,75;8,775;18;73;16;91
8,7625;8,7875;21;75;19;101
8,775;8,8;23;79;24;95
8,7875;8,8125;21;82;27;95
8,8;8,825;25;84;22;96
8,8125;8,8375;30;83;18;71
8,825;8,85;27;78;18;73
8,8375;8,8625;24;80;20;89
8,85;8,875;25;93;23;85
8,8625;8,8875;18;96;27;88
8,875;8,9;16;88;24;95
