Start;Stop;;
7,7125;7,7375;2307,77;2244,64
7,725;7,75;2074,9;1780,05
7,7375;7,7625;1605,19;1469,24
7,75;7,775;1438,39;1234,18
7,7625;7,7875;1153,76;1047,57
7,775;7,8;861,604;843,982
7,7875;7,8125;685,606;811,534
7,8;7,825;622,876;698,351
7,8125;7,8375;498,595;566,202
7,825;7,85;424,654;479,432
7,8375;7,8625;379,826;392,314
7,85;7,875;306,293;322,466
7,8625;7,8875;277,001;277,752
7,875;7,9;262,766;267,806
7,8875;7,9125;232,39;230,328
7,9;7,925;207,376;190,216
7,9125;7,9375;174,535;169,042
7,925;7,95;177,757;162,415
7,9375;7,9625;160,349;151,818
7,95;7,975;148,247;162,602
7,9625;7,9875;157,429;170,184
7,975;8;140,083;159,211
7,9875;8,0125;126,189;143,918
8;8,025;135,979;136,745
8,0125;8,0375;125,983;134,835
8,025;8,05;111,897;141,762
8,0375;8,0625;117,31;152,142
8,05;8,075;122,843;155,519
8,0625;8,0875;126,013;154,787
8,075;8,1;143,232;157,627
8,0875;8,1125;135,684;145,608
8,1;8,125;105,641;126,217
8,1125;8,1375;106,805;132,703
8,125;8,15;108,5;137,772
8,1375;8,1625;103,233;134,06
8,15;8,175;111,818;135,807
8,1625;8,1875;119,457;125,601
8,175;8,2;111,207;118,691
8,1875;8,2125;101,04;119,952
8,2;8,225;97,3527;103,664
8,2125;8,2375;22436,5;20022,9
8,225;8,25;22898,5;20541,8
8,2375;8,2625;6017,89;5301,86
8,25;8,275;5094,24;3854,86
8,2625;8,2875;4179,64;3663,04
8,275;8,3;3518,34;3002,89
8,2875;8,3125;2955,68;2594,04
8,3;8,325;2283,93;2365,62
8,3125;8,3375;1932,61;1846,46
8,325;8,35;1631,67;1471,26
8,3375;8,3625;1397,09;1297,55
8,35;8,375;1152,96;1078,77
8,3625;8,3875;829,294;921,012
8,375;8,4;803,027;772,051
8,3875;8,4125;734,617;653,253
8,4;8,425;599,579;547,666
8,4125;8,4375;487,376;515,641
8,425;8,45;386,22;428,733
8,4375;8,4625;349,365;355,865
8,45;8,475;320,923;343,488
8,4625;8,4875;272,213;234,729
8,475;8,5;216,756;185,611
8,4875;8,5125;203,626;178,031
8,5;8,525;184,076;167,58
8,5125;8,5375;171,443;147,466
8,525;8,55;158,536;123,789
8,5375;8,5625;129,21;124,038
8,55;8,575;116,041;119,717
8,5625;8,5875;114,109;102,556
8,575;8,6;102,057;96,3611
8,5875;8,6125;93,6051;87,3057
8,6;8,625;96,6234;88,2627
8,6125;8,6375;98,2551;83,8101
8,625;8,65;93,1271;75,0215
8,6375;8,6625;76,5604;72,0264
8,65;8,675;71,2686;75,0436
8,6625;8,6875;70,3189;75,9411
8,675;8,7;78,6093;72,5668
8,6875;8,7125;85,3063;66,217
8,7;8,725;73,0057;66,0959
8,7125;8,7375;66,7656;69,8611
8,725;8,75;71,3241;65,295
8,7375;8,7625;4815,63;6995,89
8,75;8,775;27348,8;29009,7
8,7625;8,7875;27322;28407,2
8,775;8,8;6411,81;5161,1
8,7875;8,8125;5310,8;4498,56
8,8;8,825;4398,78;3819,24
8,8125;8,8375;3947,36;3377,98
8,825;8,85;3207,37;2811,89
8,8375;8,8625;2666,52;2361,23
8,85;8,875;1924,92;2028,96
8,8625;8,8875;1909,22;1621,08
8,875;8,9;1600,85;1295,16
8,8875;8,9125;1131,49;1156,2
8,9;8,925;936,663;962,092
8,9125;8,9375;902,559;806,143
8,925;8,95;814,547;692,604
8,9375;8,9625;613,269;505,051
8,95;8,975;551,624;526,824
8,9625;8,9875;473,367;538,679
8,975;9;409,69;405,129
8,9875;9,0125;358,239;290,645
9;9,025;305,189;255,393
9,0125;9,0375;235,857;198,937
9,025;9,05;202,573;181,324
9,0375;9,0625;181,967;161,363
9,05;9,075;189,257;129,647
9,0625;9,0875;159,8;133,467
9,075;9,1;116,81;127,283
9,0875;9,1125;111,509;112,845
9,1;9,125;110,581;107,1
9,1125;9,1375;91,2808;92,1426
9,125;9,15;84,2299;89,6359
9,1375;9,1625;85,7852;92,191
9,15;9,175;80,3155;84,4566
9,1625;9,1875;86,5131;89,9747
9,175;9,2;92,3495;87,9047
9,1875;9,2125;82,3501;82,4044
9,2;9,225;78,4026;93,4365
9,2125;9,2375;80,1174;96,399
9,225;9,25;82,8326;107,998
9,2375;9,2625;84,4316;103,38
9,25;9,275;80,897;83,8381
9,2625;9,2875;94,0858;89,1553
9,275;9,3;118,997;98,1079
9,2875;9,3125;109,913;97,9434
9,3;9,325;18787,6;15753,2
9,3125;9,3375;19752,6;16657,4
9,325;9,35;6981,92;5855,58
9,3375;9,3625;4397,81;3214,01
9,35;9,375;3430,15;3184,94
9,3625;9,3875;2892,79;2769,84
9,375;9,4;2475,09;2272,45
9,3875;9,4125;1872,84;1938,67
9,4;9,425;1612,33;1477,47
9,4125;9,4375;1389,22;1185,5
9,425;9,45;1248,87;1015,97
9,4375;9,4625;884,123;764,288
9,45;9,475;721,564;734,305
9,4625;9,4875;637,103;636,342
9,475;9,5;627,61;533,591
9,4875;9,5125;530,556;507,775
9,5;9,525;407,389;414,807
9,5125;9,5375;352,692;364,462
9,525;9,55;298,729;335,347
9,5375;9,5625;279,21;292,458
9,55;9,575;273,403;210,236
9,5625;9,5875;198,794;175,645
9,575;9,6;154,362;143,353
9,5875;9,6125;144,594;141,592
9,6;9,625;114,23;125,796
9,6125;9,6375;125,26;106,987
9,625;9,65;115,025;103,075
9,6375;9,6625;86,0254;99,9754
9,65;9,675;81,3314;89,7203
9,6625;9,6875;82,8496;78,427
9,675;9,7;84,8203;87,5122
9,6875;9,7125;77,9089;84,1148
