Start;Stop;;;;
5,4;5,425;93;126;78;116
5,4125;5,4375;86;123;64;105
5,425;5,45;77;111;61;94
5,4375;5,4625;70;110;57;90
5,45;5,475;67;110;55;94
5,4625;5,4875;60;107;49;92
5,475;5,5;59;103;52;92
5,4875;5,5125;56;104;54;99
5,5;5,525;50;117;48;110
5,5125;5,5375;62;129;58;116
5,525;5,55;73;135;67;121
5,5375;5,5625;83;139;71;123
5,55;5,575;88;145;66;122
5,5625;5,5875;72;152;56;121
5,575;5,6;63;144;59;121
5,5875;5,6125;67;132;60;117
5,6;5,625;74;132;53;115
5,6125;5,6375;70;134;49;115
5,625;5,65;58;128;50;113
5,6375;5,6625;62;134;56;113
5,65;5,675;69;135;65;116
5,6625;5,6875;71;127;61;117
5,675;5,7;70;118;56;113
5,6875;5,7125;62;129;58;115
5,7;5,725;72;150;64;128
5,7125;5,7375;73;139;67;124
5,725;5,75;78;127;64;105
5,7375;5,7625;89;126;65;106
5,75;5,775;75;131;70;119
5,7625;5,7875;71;133;69;125
5,775;5,8;70;140;59;125
5,7875;5,8125;72;139;62;116
5,8;5,825;77;142;71;126
5,8125;5,8375;84;141;68;132
5,825;5,85;96;139;77;129
5,8375;5,8625;99;132;91;123
5,85;5,875;101;121;95;114
5,8625;5,8875;104;128;100;121
5,875;5,9;105;127;89;121
5,8875;5,9125;107;119;89;121
5,9;5,925;104;120;101;130
5,9125;5,9375;109;127;105;141
5,925;5,95;115;139;105;135
5,9375;5,9625;108;142;99;125
5,95;5,975;98;134;92;129
5,9625;5,9875;93;119;87;122
5,975;6;81;113;73;115
5,9875;6,0125;61;116;61;112
6;6,025;70;124;62;119
6,0125;6,0375;65;131;60;127
6,025;6,05;48;137;48;121
6,0375;6,0625;59;133;59;125
6,05;6,075;66;134;64;134
6,0625;6,0875;66;142;62;137
6,075;6,1;57;135;63;140
6,0875;6,1125;56;143;57;139
6,1;6,125;61;148;60;128
6,1125;6,1375;57;132;51;123
6,125;6,15;61;134;55;137
6,1375;6,1625;52;142;56;153
6,15;6,175;49;147;53;139
6,1625;6,1875;59;146;57;126
6,175;6,2;50;143;52;137
6,1875;6,2125;44;136;50;148
6,2;6,225;50;134;57;140
6,2125;6,2375;60;141;58;131
6,225;6,25;65;144;50;134
6,2375;6,2625;76;150;56;136
6,25;6,275;68;151;52;139
6,2625;6,2875;58;143;46;136
6,275;6,3;67;148;57;141
6,2875;6,3125;50;159;48;161
6,3;6,325;52;151;48;150
6,3125;6,3375;52;152;49;149
6,325;6,35;48;156;43;155
6,3375;6,3625;55;150;48;150
6,35;6,375;54;151;53;154
6,3625;6,3875;66;156;60;154
6,375;6,4;68;166;68;148
6,3875;6,4125;55;200;65;178
6,4;6,425;49;196;57;190
6,4125;6,4375;56;179;62;173
6,425;6,45;80;161;77;151
6,4375;6,4625;93;130;85;127
6,45;6,475;83;113;81;122
6,4625;6,4875;64;109;68;121
6,475;6,5;60;112;63;117
6,4875;6,5125;56;118;56;116
6,5;6,525;43;125;50;130
6,5125;6,5375;64;126;72;132
6,525;6,55;60;128;62;126
6,5375;6,5625;46;133;49;138
6,55;6,575;62;147;76;153
6,5625;6,5875;70;153;80;155
6,575;6,6;70;160;92;161
6,5875;6,6125;82;160;111;166
6,6;6,625;91;164;109;162
6,6125;6,6375;101;175;115;164
6,625;6,65;98;171;105;167
6,6375;6,6625;90;164;91;161
6,65;6,675;87;155;89;155
6,6625;6,6875;65;145;74;147
6,675;6,7;57;147;63;148
6,6875;6,7125;52;148;51;145
6,7;6,725;46;143;42;146
6,7125;6,7375;52;136;50;156
6,725;6,75;60;149;58;149
6,7375;6,7625;58;170;62;156
6,75;6,775;76;165;93;162
6,7625;6,7875;90;163;106;161
6,775;6,8;87;168;99;165
6,7875;6,8125;80;161;84;157
6,8;6,825;63;155;55;147
6,8125;6,8375;73;154;67;154
6,825;6,85;85;147;81;158
6,8375;6,8625;82;158;86;152
6,85;6,875;82;160;89;155
6,8625;6,8875;75;156;77;161
6,875;6,9;72;171;70;164
6,8875;6,9125;74;162;64;157
6,9;6,925;65;151;63;152
6,9125;6,9375;76;163;70;159
6,925;6,95;86;172;77;165
6,9375;6,9625;78;167;75;164
6,95;6,975;73;159;60;154
6,9625;6,9875;65;151;62;150
6,975;7;65;145;66;145
6,9875;7,0125;75;136;76;135
7;7,025;84;111;81;112
7,0125;7,0375;89;95;87;97
7,025;7,05;98;106;98;112
7,0375;7,0625;92;118;94;120
7,05;7,075;88;120;96;118
7,0625;7,0875;90;111;89;115
7,075;7,1;86;116;79;116
7,0875;7,1125;80;138;80;134
7,1;7,125;78;152;78;145
7,1125;7,1375;75;147;73;136
7,125;7,15;75;141;73;131
7,1375;7,1625;77;155;74;135
7,15;7,175;85;165;78;145
7,1625;7,1875;79;146;61;141
7,175;7,2;46;122;42;117
7,1875;7,2125;37;114;39;107
7,2;7,225;44;103;30;100
7,2125;7,2375;46;96;30;89
7,225;7,25;36;96;32;87
7,2375;7,2625;30;91;30;85
7,25;7,275;28;94;30;82
7,2625;7,2875;25;98;31;84
7,275;7,3;22;100;26;91
7,2875;7,3125;24;104;26;96
7,3;7,325;28;97;26;97
7,3125;7,3375;30;94;28;103
7,325;7,35;31;96;29;109
7,3375;7,3625;30;88;26;101
7,35;7,375;26;90;24;96
7,3625;7,3875;26;98;22;100
7,375;7,4;24;104;24;108
7,3875;7,4125;27;95;32;91
7,4;7,425;26;92;32;88
7,4125;7,4375;30;99;27;105
7,425;7,45;44;101;30;98
7,4375;7,4625;43;100;30;92
7,45;7,475;36;111;37;102
7,4625;7,4875;34;118;42;103
7,475;7,5;34;120;32;102
7,4875;7,5125;39;120;37;112
7,5;7,525;36;116;40;111
7,5125;7,5375;36;122;38;124
7,525;7,55;38;127;46;125
7,5375;7,5625;38;129;48;123
7,55;7,575;44;129;48;134
7,5625;7,5875;52;133;50;135
7,575;7,6;50;132;44;130
7,5875;7,6125;42;122;42;117
7,6;7,625;40;108;47;106
7,6125;7,6375;41;116;47;103
7,625;7,65;45;124;43;104
7,6375;7,6625;44;117;46;112
7,65;7,675;48;109;48;113
7,6625;7,6875;56;105;56;113
7,675;7,7;57;116;61;124
7,6875;7,7125;60;119;75;140
7,7;7,725;63;118;78;139
7,7125;7,7375;61;127;63;135
7,725;7,75;63;122;67;136
7,7375;7,7625;57;115;56;128
7,75;7,775;51;126;49;126
7,7625;7,7875;68;139;52;134
7,775;7,8;76;143;60;142
7,7875;7,8125;69;140;65;143
7,8;7,825;46;130;42;146
7,8125;7,8375;25;98;25;119
7,825;7,85;20;79;24;94
7,8375;7,8625;17;68;24;98
7,85;7,875;17;69;21;96
7,8625;7,8875;16;91;16;95
7,875;7,9;19;92;23;103
7,8875;7,9125;19;89;25;105
7,9;7,925;18;98;24;97
7,9125;7,9375;18;96;24;94
7,925;7,95;17;79;19;89
7,9375;7,9625;22;67;24;77
7,95;7,975;25;54;28;60
7,9625;7,9875;22;47;26;49
7,975;8;30;62;28;64
7,9875;8,0125;32;63;30;65
8;8,025;26;56;28;54
8,0125;8,0375;25;57;28;57
8,025;8,05;25;52;31;52
8,0375;8,0625;28;54;32;52
8,05;8,075;34;59;34;51
8,0625;8,0875;34;57;38;47
8,075;8,1;32;56;36;56
8,0875;8,1125;31;63;30;61
